Row Labels,Hour,Date-Hour,Month,Year,Sum/Win,WeekNumber,Weeday,Prior Period Temp C,Avg Temp C,Winter HDD (51 Base),Summer CDD (51 Base),Max Temp C,Dew C,Humidity,Visibility (km),Wind Dir,Wind Speed (km/h),Gust Speed (km/h),Precip (mm),Events,Conditions,Max kW
1/5/2014,0,5/1/2014-0,5,2014,1,18,4,6,6,0.3,0,6,6,97,16.1,West,14.8,N/A,N/A,N/A,Overcast,35
1/5/2014,1,5/1/2014-1,5,2014,1,18,4,6,6,0.3,0,6,6,100,16.1,WSW,14.8,N/A,N/A,N/A,Overcast,35
1/5/2014,2,5/1/2014-2,5,2014,1,18,4,6,6,0.3,0,7,6,98,16.1,WSW,13,N/A,N/A,N/A,Overcast,35
1/5/2014,3,5/1/2014-3,5,2014,1,18,4,7,6,0.3,0,6,6,100,16.1,WSW,14.8,25.9,N/A,N/A,Light Drizzle,36
1/5/2014,4,5/1/2014-4,5,2014,1,18,4,6,6,0.3,0,6,6,100,16.1,West,14.8,N/A,N/A,N/A,Overcast,63
1/5/2014,5,5/1/2014-5,5,2014,1,18,4,7,7,0.3,0,7,5,87,16.1,WSW,16.7,25.9,N/A,N/A,Overcast,97
1/5/2014,6,5/1/2014-6,5,2014,1,18,4,7,7,0.3,0,7,5,89,16.1,West,13,N/A,N/A,Rain ,Light Rain,74
1/5/2014,7,5/1/2014-7,5,2014,1,18,4,7,7,0.3,0,7,5,87,16.1,West,16.7,29.6,N/A,N/A,Overcast,140
1/5/2014,8,5/1/2014-8,5,2014,1,18,4,7,7,0.3,0,7,5,87,16.1,West,16.7,N/A,N/A,N/A,Overcast,193
1/5/2014,9,5/1/2014-9,5,2014,1,18,4,7,8,0.2,0,8,5,81,16.1,West,25.9,31.5,N/A,N/A,Overcast,194
1/5/2014,10,5/1/2014-10,5,2014,1,18,4,8,8,0.2,0,8,5,81,16.1,West,24.1,37,N/A,N/A,Overcast,195
1/5/2014,11,5/1/2014-11,5,2014,1,18,4,9,9,0.1,0,9,5,78,16.1,West,20.4,N/A,N/A,N/A,Overcast,201
